n,col1,col2,col3,col4
1,65,10,0,0
2,94,674,0,0
3,137,210,0,0
4,235,27,276,0
5,379,841,115,806
6,398,107,0,0
7,541,719,0,0
8,577,462,500,0
9,615,748,699,0
10,660,136,0,0
11,773,49,0,0
12,779,79,425,0
13,923,934,0,0
14,936,83,120,0
15,959,873,0,0
16,314,829,960,0
17,225,840,920,0
18,123,247,472,0
19,329,793,817,0
20,370,742,354,0
21,8,366,925,0
22,152,454,705,0
23,351,894,916,0
24,193,449,0,0
25,406,886,0,0
26,218,984,0,0
27,838,929,0,0
28,881,890,0,0
29,857,942,0,0
30,620,667,0,0
31,483,611,0,0
32,316,672,0,0
33,271,743,0,0
34,184,263,0,0
35,4,842,0,0
36,33,664,0,0
37,280,694,0,0
38,888,912,0,0
39,344,867,0,0
40,424,444,0,0
41,216,302,0,0
42,850,961,0,0
43,41,93,663,0
44,732,897,0,0
45,169,257,0,0
46,96,105,0,0
47,587,785,0,0
48,688,727,0,0
49,162,720,0,0
50,551,784,0,0
51,38,836,0,0
52,595,759,0,0
53,668,683,0,0
54,752,775,0,0
55,630,678,0,0
56,312,985,0,0
57,185,433,489,0
58,973,0,0,0
59,328,701,946,0
60,338,622,0,0
61,71,676,0,0
62,114,963,0,0
63,42,67,113,0
64,59,522,0,0
65,378,843,0,0
66,791,995,0,0
67,254,413,0,0
68,521,951,0,0
69,636,697,0,0
70,339,397,905,0
71,264,404,0,0
72,531,594,764,0
73,949,993,0,0
74,361,702,809,0
75,422,434,883,0
76,644,997,0,0
77,246,335,0,0
78,221,325,0,0
79,758,913,0,0
80,179,183,228,0
81,31,295,0,0
82,155,241,525,0
83,232,322,0,0
84,161,304,306,0
85,602,931,0,0
86,582,844,0,0
87,70,165,0,0
88,244,614,657,0
89,387,533,976,0
90,3,477,0,0
91,231,467,570,0
92,101,974,996,0
93,452,679,0,0
94,142,400,0,0
95,212,837,0,0
96,17,786,0,0
97,30,566,0,0
98,37,469,863,0
99,72,355,0,0
100,255,350,768,0
101,208,474,0,0
102,597,780,0,0
103,403,707,0,0
104,200,491,564,0
105,217,261,0,0
106,453,799,978,0
107,455,953,0,0
108,539,816,0,0
109,172,542,0,0
110,723,911,0,0
111,106,250,565,0
112,580,977,0,0
113,495,741,0,0
114,287,647,662,0
115,767,846,0,0
116,82,461,0,0
117,654,955,0,0
118,360,560,569,0
119,391,728,0,0
120,476,576,0,0
121,9,349,763,0
122,32,88,0,0
123,63,798,856,0
124,272,435,972,0
125,332,584,656,0
126,772,815,0,0
127,364,685,0,0
128,269,396,666,0
129,512,788,0,0
130,847,899,0,0
131,147,555,0,0
132,822,907,0,0
133,11,309,0,0
134,227,983,0,0
135,230,526,0,0
136,877,952,0,0
137,119,823,924,0
138,590,621,0,0
139,274,414,988,0
140,54,100,0,0
141,57,282,738,0
142,164,592,0,0
143,914,930,0,0
144,95,686,0,0
145,342,855,0,0
146,262,289,0,0
147,143,173,581,0
148,292,908,0,0
149,129,648,0,0
150,485,709,0,0
151,74,527,0,0
152,408,880,909,0
153,170,821,0,0
154,497,947,0,0
155,451,513,721,0
156,202,283,294,0
157,473,529,0,0
158,141,825,853,0
159,127,769,0,0
160,468,488,778,0
161,47,167,394,0
162,195,371,0,0
163,382,849,0,0
164,5,591,0,0
165,69,293,585,0
166,680,957,0,0
167,211,537,607,0
168,86,693,0,0
169,307,747,0,0
170,258,375,915,0
171,623,745,0,0
172,99,661,0,0
173,357,479,0,0
174,133,194,0,0
175,340,448,803,0
176,481,903,0,0
177,492,652,0,0
178,290,313,381,0
179,260,828,0,0
180,13,980,0,0
181,301,876,941,0
182,733,989,990,0
183,125,149,906,0
184,205,698,0,0
185,131,519,0,0
186,399,859,0,0
187,609,655,0,0
188,418,807,0,0
189,87,598,731,0
190,46,818,0,0
191,154,187,559,0
192,44,281,939,0
193,85,166,0,0
194,470,901,0,0
195,442,865,0,0
196,380,673,0,0
197,337,603,0,0
198,84,267,902,0
199,28,805,0,0
200,439,751,789,0
201,191,431,535,0
202,116,540,705,0
203,97,178,572,0
204,22,305,0,0
205,181,967,0,0
206,223,383,0,0
207,266,866,0,0
208,415,700,879,0
209,248,782,0,0
210,68,528,0,0
211,124,238,634,0
212,132,612,975,0
213,735,820,0,0
214,509,553,0,0
215,327,538,0,0
216,352,568,0,0
217,321,848,0,0
218,574,797,0,0
219,171,681,715,0
220,180,362,494,0
221,507,604,0,0
222,377,465,889,0
223,787,810,812,0
224,718,927,0,0
225,464,586,0,0
226,20,518,0,0
227,819,971,0,0
228,395,401,691,0
229,331,887,0,0
230,524,783,0,0
231,229,270,0,0
232,766,917,0,0
233,554,968,0,0
234,757,761,851,0
235,755,762,999,0
236,563,792,933,0
237,138,619,0,0
238,78,450,860,0
239,804,864,0,0
240,21,353,0,0
241,682,937,0,0
242,18,53,832,0
243,130,484,814,0
244,643,777,802,0
245,110,624,0,0
246,242,717,0,0
